shift_id,generation,best_fitness,avg_fitness
1,16,5.0,0.125
1,17,3.0,0.0625
1,18,3.0,0.140625
1,19,4.0,0.1015625
1,20,3.0,0.1171875
1,21,3.0,0.125
1,22,3.0,0.234375
1,23,3.0,0.15625
1,24,3.0,0.109375
1,25,2.0,0.046875
2,31,4.0,0.0859375
2,32,2.0,0.109375
2,33,3.0,0.109375
2,34,3.0,0.0625
2,35,3.0,0.09375
2,36,1.0,0.0234375
2,37,2.0,0.1015625
2,38,3.0,0.046875
2,39,3.0,0.09375
2,40,2.0,0.09375
3,48,5.0,0.1328125
3,49,3.0,0.2109375
3,50,4.0,0.125
3,51,3.0,0.09375
3,52,1.0,0.0234375
3,53,3.0,0.0859375
3,54,4.0,0.1171875
3,55,3.0,0.1171875
3,56,4.0,0.09375
3,57,3.0,0.078125
4,63,3.0,0.15625
4,64,3.0,0.125
4,65,2.0,0.03125
4,66,3.0,0.03125
4,67,4.0,0.078125
4,68,3.0,0.09375
4,69,4.0,0.0859375
4,70,2.0,0.0625
4,71,1.0,0.0234375
4,72,4.0,0.1171875
5,82,3.0,0.09375
5,83,4.0,0.1796875
5,84,4.0,0.125
5,85,5.0,0.1875
5,86,2.0,0.1171875
5,87,4.0,0.25
5,88,4.0,0.1796875
5,89,4.0,0.1875
5,90,4.0,0.2421875
5,91,3.0,0.171875
6,97,4.0,0.265625
6,98,4.0,0.1875
6,99,5.0,0.21875
6,100,4.0,0.234375
6,101,5.0,0.171875
6,102,4.0,0.328125
6,103,5.0,0.3828125
6,104,6.0,0.3046875
6,105,5.0,0.2109375
6,106,5.0,0.375
7,116,5.0,0.125
7,117,4.0,0.1796875
7,118,3.0,0.1171875
7,119,2.0,0.078125
7,120,3.0,0.078125
7,121,4.0,0.140625
7,122,5.0,0.1171875
7,123,3.0,0.0625
7,124,5.0,0.203125
7,125,3.0,0.09375
8,131,3.0,0.078125
8,132,4.0,0.15625
8,133,3.0,0.09375
8,134,3.0,0.1171875
8,135,5.0,0.1484375
8,136,3.0,0.125
8,137,4.0,0.109375
8,138,4.0,0.1640625
8,139,4.0,0.140625
8,140,4.0,0.125
9,147,3.0,0.125
9,148,4.0,0.203125
9,149,3.0,0.2109375
9,150,3.0,0.171875
9,151,4.0,0.234375
9,152,3.0,0.1328125
9,153,3.0,0.359375
9,154,3.0,0.28125
9,155,3.0,0.265625
9,156,3.0,0.25
10,163,2.0,0.15625
10,164,7.0,0.2265625
10,165,8.0,0.1953125
10,166,4.0,0.15625
10,167,5.0,0.109375
10,168,2.0,0.1484375
10,169,2.0,0.125
10,170,4.0,0.1640625
10,171,2.0,0.046875
10,172,2.0,0.1875
11,178,5.0,0.3203125
11,179,5.0,0.2734375
11,180,5.0,0.5078125
11,181,5.0,0.3046875
11,182,4.0,0.1796875
11,183,5.0,0.28125
11,184,4.0,0.3359375
11,185,3.0,0.2421875
11,186,5.0,0.390625
11,187,5.0,0.2421875
12,197,4.0,0.2421875
12,198,3.0,0.3984375
12,199,3.0,0.265625
12,200,5.0,0.296875
12,201,3.0,0.2265625
12,202,4.0,0.2734375
12,203,3.0,0.3046875
12,204,4.0,0.3125
12,205,6.0,0.359375
12,206,4.0,0.2734375
13,212,3.0,0.1640625
13,213,2.0,0.1875
13,214,5.0,0.1484375
13,215,3.0,0.1484375
13,216,2.0,0.15625
13,217,5.0,0.15625
13,218,5.0,0.1953125
13,219,5.0,0.203125
13,220,4.0,0.140625
13,221,3.0,0.1953125
14,232,7.0,0.2265625
14,233,3.0,0.171875
14,234,7.0,0.3828125
14,235,7.0,0.296875
14,236,7.0,0.3359375
14,237,4.0,0.1484375
14,238,5.0,0.15625
14,239,4.0,0.171875
14,240,10.0,0.1953125
14,241,7.0,0.2265625
15,249,4.0,0.21875
15,250,3.0,0.1796875
15,251,4.0,0.203125
15,252,3.0,0.1953125
15,253,3.0,0.28125
15,254,3.0,0.3203125
15,255,5.0,0.390625
15,256,4.0,0.2578125
15,257,3.0,0.3203125
15,258,3.0,0.1015625
16,269,5.0,0.3515625
16,270,5.0,0.3984375
16,271,5.0,0.2734375
16,272,4.0,0.3359375
16,273,5.0,0.328125
16,274,5.0,0.40625
16,275,5.0,0.34375
16,276,5.0,0.3359375
16,277,5.0,0.390625
16,278,5.0,0.3671875
17,284,6.0,0.34375
17,285,5.0,0.2421875
17,286,3.0,0.359375
17,287,4.0,0.359375
17,288,6.0,0.3671875
17,289,4.0,0.2578125
17,290,3.0,0.3125
17,291,3.0,0.4609375
17,292,5.0,0.2734375
17,293,3.0,0.1640625
18,301,4.0,0.21875
18,302,4.0,0.3359375
18,303,4.0,0.3671875
18,304,4.0,0.328125
18,305,4.0,0.3359375
18,306,4.0,0.28125
18,307,4.0,0.3125
18,308,4.0,0.2734375
18,309,5.0,0.2109375
18,310,4.0,0.28125
19,321,5.0,0.3515625
19,322,4.0,0.2109375
19,323,5.0,0.2421875
19,324,5.0,0.4765625
19,325,5.0,0.28125
19,326,5.0,0.359375
19,327,5.0,0.4453125
19,328,5.0,0.28125
19,329,5.0,0.3359375
19,330,5.0,0.421875
20,340,3.0,0.203125
20,341,3.0,0.328125
20,342,3.0,0.2421875
20,343,3.0,0.15625
20,344,3.0,0.1484375
20,345,3.0,0.1796875
20,346,3.0,0.2421875
20,347,4.0,0.3203125
20,348,3.0,0.203125
20,349,3.0,0.1796875
21,357,7.0,0.3828125
21,358,4.0,0.15625
21,359,4.0,0.2578125
21,360,7.0,0.3984375
21,361,4.0,0.2734375
21,362,2.0,0.1640625
21,363,5.0,0.3359375
21,364,5.0,0.2890625
21,365,7.0,0.4296875
21,366,4.0,0.2890625
22,374,4.0,0.3203125
22,375,4.0,0.2890625
22,376,4.0,0.28125
22,377,5.0,0.4375
22,378,4.0,0.390625
22,379,3.0,0.2265625
22,380,6.0,0.34375
22,381,4.0,0.3359375
22,382,4.0,0.25
22,383,5.0,0.375
23,390,3.0,0.21875
23,391,4.0,0.3203125
23,392,3.0,0.3125
23,393,4.0,0.4140625
23,394,3.0,0.4140625
23,395,3.0,0.3671875
23,396,4.0,0.21875
23,397,3.0,0.34375
23,398,3.0,0.40625
23,399,5.0,0.4296875
24,408,3.0,0.2265625
24,409,4.0,0.3359375
24,410,4.0,0.375
24,411,3.0,0.3125
24,412,3.0,0.3046875
24,413,4.0,0.421875
24,414,3.0,0.421875
24,415,4.0,0.3671875
24,416,4.0,0.3125
24,417,4.0,0.28125
25,424,7.0,0.5703125
25,425,7.0,0.609375
25,426,6.0,0.4453125
25,427,6.0,0.7421875
25,428,4.0,0.546875
25,429,6.0,0.578125
25,430,5.0,0.5546875
25,431,5.0,0.4375
25,432,6.0,0.546875
25,433,5.0,0.515625
26,444,2.0,0.0546875
26,445,4.0,0.109375
26,446,4.0,0.09375
26,447,8.0,0.1484375
26,448,2.0,0.0625
26,449,4.0,0.109375
26,450,4.0,0.0625
26,451,3.0,0.15625
26,452,3.0,0.046875
26,453,2.0,0.0625
27,460,4.0,0.28125
27,461,4.0,0.390625
27,462,4.0,0.515625
27,463,4.0,0.359375
27,464,4.0,0.4453125
27,465,5.0,0.5078125
27,466,5.0,0.6875
27,467,4.0,0.5390625
27,468,4.0,0.515625
27,469,4.0,0.3984375
28,475,5.0,0.390625
28,476,4.0,0.34375
28,477,4.0,0.3671875
28,478,4.0,0.4375
28,479,4.0,0.296875
28,480,5.0,0.40625
28,481,4.0,0.453125
28,482,4.0,0.3359375
28,483,4.0,0.2890625
28,484,4.0,0.3515625
29,494,4.0,0.34375
29,495,5.0,0.359375
29,496,4.0,0.3671875
29,497,2.0,0.2421875
29,498,3.0,0.4375
29,499,4.0,0.359375
29,500,4.0,0.3359375
