generation,best_fitness,avg_fitness,median_eta,median_lambda,median_drift
1,3.0,0.1328125,0.2,0.5207862186624781,0.011288292802263039
2,3.0,0.1171875,0.2,0.5489004681151921,0.008527864616632215
3,3.0,0.09375,0.2,0.6177415811431175,0.010922434284293646
4,4.0,0.1171875,0.2,0.5379998852756555,0.006556727364727037
5,3.0,0.0625,0.2,0.5359157205438607,0.016207987587946955
6,3.0,0.1484375,0.2,0.5917986573326415,0.013273868319930097
7,3.0,0.2265625,0.2,0.734978727541554,0.011273498550421045
8,4.0,0.171875,0.19142393835199528,0.8437206002076086,0.0323623731018195
9,3.0,0.171875,0.18417908664045016,0.762005209642661,0.010426398702911203
10,3.0,0.09375,0.17712835826523807,0.7891583318117888,0.002674533475591859
11,8.0,0.15625,0.17179329321769735,0.7923859120655687,0.01145968767804316
12,3.0,0.125,0.1656624021933507,0.7348520874735333,0.006733779601488734
13,3.0,0.046875,0.16076727454102258,0.6451836768564865,0.01004844678124956
14,3.0,0.125,0.15447883972565984,0.628092589011964,0.052513314060794986
15,2.0,0.0703125,0.15126959397101464,0.5934991022532353,0.1107101993561257
16,5.0,0.125,0.1476731960559623,0.5934991022532353,0.031234680406560904
17,3.0,0.0625,0.14372293928157223,0.5934991022532353,0.07730298421992224
18,3.0,0.140625,0.13995564480603553,0.5934991022532353,0.010354834692121322
19,4.0,0.1015625,0.13767756471772946,0.5603085456109704,0.011832139674298968
20,3.0,0.1171875,0.1350056563930921,0.5445203436497823,0.01454828879940762
21,3.0,0.125,0.13268303262613723,0.5337962411366247,0.10310249982123226
22,3.0,0.234375,0.13065442998393895,0.5337465466504943,0.19020016445967286
23,3.0,0.15625,0.1273266070554092,0.5302848605380348,0.019463199222824534
24,3.0,0.109375,0.12501676635038675,0.5337465466504943,0.006626529355853646
25,2.0,0.046875,0.12345746028691588,0.5337465466504943,0.00998366889687975
26,3.0,0.109375,0.12134067501775964,0.5338287238387209,0.004393208466494674
27,3.0,0.109375,0.11992624806307806,0.5445203436497823,0.01636360660669739
28,4.0,0.078125,0.11863878040663886,0.5447149384442398,0.001518039006573815
29,4.0,0.09375,0.1178506222645784,0.544617641047011,0.0013811292581716321
30,3.0,0.1484375,0.11638028571266085,0.5406106219542104,0.0024157445505880067
31,4.0,0.0859375,0.11348395728872658,0.5406106219542104,0.0051552209955155245
32,2.0,0.109375,0.1130516824925148,0.5406106219542104,0.004594618269243656
33,3.0,0.109375,0.11135708005914711,0.5406106219542104,0.013392861898675237
34,3.0,0.0625,0.11092934777380453,0.5406106219542104,0.009981093114858008
35,3.0,0.09375,0.11076234671210838,0.5406106219542104,0.007098868049486832
36,1.0,0.0234375,0.11034341993020558,0.5267007519748712,0.02620570370762655
37,2.0,0.1015625,0.11023465274401932,0.5164723081026652,0.11664327438823832
38,3.0,0.046875,0.11049905719015723,0.5406106219542104,0.1028115164981521
39,3.0,0.09375,0.1101786774917011,0.5466038250239442,0.14765092994656293
40,2.0,0.09375,0.10952070895294108,0.5495044543414045,0.06981613068489327
41,3.0,0.125,0.10802707565562666,0.5417528129543338,0.11726812409818695
42,3.0,0.0703125,0.10785384336300441,0.5417528129543338,0.12391956510635313
43,2.0,0.0625,0.10746280764551967,0.5456286336478691,0.12907040978804413
44,1.0,0.0078125,0.10694140543389102,0.5417528129543338,0.13490998214486188
45,3.0,0.0625,0.10639911116115361,0.519156986283372,0.28087643589793787
46,2.0,0.0625,0.10506670991008002,0.4417817312119968,0.207322365344794
47,2.0,0.078125,0.104099784810649,0.49911700609385556,0.23386281245643625
48,5.0,0.1328125,0.10335081296261203,0.4681763001533187,0.26379622343937303
49,3.0,0.2109375,0.10329608457350015,0.0903981924073233,0.23322522979429522
50,4.0,0.125,0.10287570442342123,0.09194417024053163,0.303836242589532
51,3.0,0.09375,0.10368802277309444,0.09642963151169179,0.23069789146582786
52,1.0,0.0234375,0.10433728189892594,0.09283366624999569,0.267603570907993
53,3.0,0.0859375,0.10448049374314368,0.09642963151169179,0.12004233829138805
54,4.0,0.1171875,0.10379944903777998,0.08028099242732528,0.1180572282818862
55,3.0,0.1171875,0.1040571060617843,0.059100253768151166,0.07760163394956035
56,4.0,0.09375,0.1033834103311951,0.09642963151169179,0.23999391875930765
57,3.0,0.078125,0.10287977538838206,0.09642963151169179,0.28772271935703825
58,4.0,0.1484375,0.10345609581142076,0.06289320495180864,0.2969630109755491
59,3.0,0.1171875,0.10346559355729273,0.047324291332926545,0.21593440338623487
60,5.0,0.1640625,0.10259983174965318,0.014408349400567025,0.33165602001881866
61,4.0,0.1796875,0.10275714573059547,0.03757551474205678,0.31014735620067235
62,3.0,0.1015625,0.10152550278999767,0.014408349400567025,0.2952509241531871
63,3.0,0.15625,0.10162611223452267,0.05800091250025279,0.4150482135254029
64,3.0,0.125,0.10228967155859627,0.09642963151169179,0.3357696826389578
65,2.0,0.03125,0.10281664434710114,0.04733942199616631,0.15631645612069572
66,3.0,0.03125,0.10251019373390093,0.08971989900645354,0.27805743219035983
67,4.0,0.078125,0.10259384851171531,0.06885706379460631,0.16522915482396883
68,3.0,0.09375,0.10200849589800337,0.04733942199616631,0.18114326096730876
69,4.0,0.0859375,0.10223063954100503,0.04733942199616631,0.22843420010960075
70,2.0,0.0625,0.10266985533243285,0.07332769518328759,0.19233751265871146
71,1.0,0.0234375,0.10312381038591864,0.08060586615140107,0.15168234947623624
72,4.0,0.1171875,0.10383622169164475,0.10671392725008177,0.02407591072069916
73,3.0,0.1171875,0.10360648360168595,0.1399598368212867,0.015283957356563746
